DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-11-02 14:30:00,2.7,25.0,73,19.1,58,915,2.4,1387.4,953.7
2021-11-02 14:45:00,2.7,26.0,73,19.0,58,914,2.5,1951.4,1885.6
2021-11-02 15:00:00,2.8,27.0,73,19.0,58,914,2.5,1951.4,1885.6
2021-11-02 15:15:00,2.8,34.0,75,19.0,58,914,2.5,1951.4,1885.6
2021-11-02 15:30:00,2.9,60.0,78,18.9,58,914,2.6,2294.7,1885.6
2021-11-02 15:45:00,2.8,56.0,80,18.8,58,914,2.5,2294.7,1885.6
2021-11-02 16:00:00,2.9,67.0,82,18.7,58,914,2.6,2294.7,1885.6
2021-11-02 16:15:00,3.0,123.0,84,18.5,59,914,2.6,2294.7,2262.8
2021-11-02 16:30:00,3.2,218.0,85,18.3,60,914,2.6,3307.7,3055.1
2021-11-02 16:45:00,3.3,288.0,85,18.2,61,914,2.8,2353.9,3055.1
2021-11-02 17:00:00,3.5,359.0,85,18.0,62,914,2.7,2291.0,3021.5
2021-11-02 17:15:00,3.6,518.0,87,17.6,64,914,2.8,2291.0,3021.5
2021-11-02 17:30:00,3.7,445.0,90,17.1,67,914,2.8,2213.2,2907.1
2021-11-02 17:45:00,3.8,478.0,90,16.5,69,914,2.8,2209.3,3032.6
2021-11-02 18:00:00,3.9,512.0,93,16.0,72,914,2.8,2016.3,2931.4
2021-11-02 18:15:00,3.9,520.0,94,15.7,73,914,2.8,1941.2,2604.0
2021-11-02 18:30:00,3.9,502.0,94,15.8,73,914,2.8,1941.2,2604.0
2021-11-02 18:45:00,3.8,483.0,93,15.8,72,914,2.8,1945.2,3192.1
2021-11-02 19:00:00,3.8,465.0,93,15.9,72,914,2.8,2020.3,3192.1
2021-11-02 19:15:00,3.8,446.0,93,15.8,72,914,2.8,1945.2,3192.1
2021-11-02 19:30:00,3.8,688.0,92,15.6,73,914,2.8,1945.2,2864.7
2021-11-02 19:45:00,3.9,405.0,90,15.4,74,915,2.7,1387.2,591.0
2021-11-02 20:00:00,3.9,384.0,90,15.2,75,915,2.7,1632.1,1384.8
2021-11-02 20:15:00,3.9,397.0,90,15.1,75,915,2.7,1632.1,1384.8
2021-11-02 20:30:00,3.9,443.0,89,15.1,75,915,2.7,1632.1,1384.8
2021-11-02 20:45:00,3.8,490.0,87,15.1,76,915,2.5,1636.2,1645.5
2021-11-02 21:00:00,3.8,536.0,85,15.1,76,915,2.5,1636.2,1645.5
2021-11-02 21:15:00,3.7,525.0,85,15.0,77,915,2.5,1636.2,1645.5
2021-11-02 21:30:00,3.6,410.0,84,14.7,78,915,2.5,1713.9,1814.6
2021-11-02 21:45:00,3.4,331.0,82,14.4,79,915,2.7,1795.7,1882.7
2021-11-02 22:00:00,3.4,252.0,80,14.1,80,915,2.7,1795.7,1882.7
2021-11-02 22:15:00,3.3,217.0,78,14.0,80,915,2.7,2201.2,1882.7
2021-11-02 22:30:00,3.3,183.0,76,13.9,80,915,2.7,2201.2,1882.7
2021-11-02 22:45:00,3.3,116.0,74,13.9,80,915,2.7,2201.2,1882.7
2021-11-02 23:00:00,3.4,49.0,73,13.8,80,915,2.7,1795.7,1882.7
2021-11-02 23:15:00,3.3,223.0,72,13.8,80,915,2.7,2201.2,1882.7
2021-11-02 23:30:00,3.0,26.0,69,13.9,80,915,2.7,2201.2,1882.7
2021-11-02 23:45:00,2.8,32.0,64,13.9,79,915,2.5,2201.2,1882.7
2021-11-03 00:00:00,2.5,5.0,64,13.6,91,915,2.7,2629.6,1640.9
2021-11-03 00:15:00,2.5,6.0,63,13.5,91,915,2.7,2629.6,1640.9
2021-11-03 00:30:00,2.3,7.0,59,13.5,91,915,2.8,2560.2,1573.5
2021-11-03 00:45:00,2.2,8.0,58,13.4,91,915,2.8,2491.5,1419.4
2021-11-03 01:00:00,2.1,9.0,53,13.4,91,915,2.8,2329.9,1356.4
2021-11-03 01:15:00,2.1,9.0,51,13.4,91,915,2.8,2329.9,1356.4
2021-11-03 01:30:00,2.1,7.0,47,13.4,91,915,2.8,2329.9,1356.4
2021-11-03 01:45:00,2.1,4.0,45,13.5,91,915,2.8,2533.2,1356.4
2021-11-03 02:00:00,2.1,2.0,41,13.5,91,915,2.8,2533.2,1356.4
2021-11-03 02:15:00,2.2,1.0,39,13.5,91,915,2.8,2533.2,1241.6
2021-11-03 02:30:00,2.2,1.0,36,13.5,91,915,2.8,2533.2,1998.0
2021-11-03 02:45:00,2.2,0.0,32,13.5,92,914,4.3,4225.7,3672.7
2021-11-03 03:00:00,2.3,0.0,29,13.5,92,914,4.3,4225.7,3672.7
2021-11-03 03:15:00,2.4,0.0,30,13.5,92,914,4.2,4225.7,3672.7
2021-11-03 03:30:00,2.4,0.0,33,13.4,92,914,4.2,4225.7,3672.7
2021-11-03 03:45:00,2.4,0.0,35,13.4,92,914,4.2,4225.7,3672.7
2021-11-03 04:00:00,2.4,0.0,38,13.3,92,914,4.2,3899.0,3850.7
2021-11-03 04:15:00,2.5,0.0,40,13.2,92,914,4.2,3899.0,3850.7
2021-11-03 04:30:00,2.5,0.0,40,13.0,93,914,4.3,3812.3,3588.3
2021-11-03 04:45:00,2.5,0.0,42,12.7,93,913,4.3,4169.9,3588.3
2021-11-03 05:00:00,2.5,0.0,42,12.5,94,913,4.3,4218.9,3588.3
2021-11-03 05:15:00,2.5,0.0,43,12.5,93,913,4.3,4169.9,3588.3
2021-11-03 05:30:00,2.3,0.0,49,12.7,92,913,4.3,4256.6,3850.7
2021-11-03 05:45:00,2.1,0.0,51,12.8,91,913,4.3,4256.6,3965.5
2021-11-03 06:00:00,1.9,0.0,58,13.0,90,913,4.1,3989.8,3940.5
2021-11-03 06:15:00,1.9,0.0,62,13.1,89,913,4.1,3450.3,3931.9
2021-11-03 06:30:00,2.0,0.0,63,13.2,90,913,4.1,3649.3,4239.5
2021-11-03 06:45:00,2.1,0.0,67,13.3,90,914,4.2,3088.4,4239.5
2021-11-03 07:00:00,2.2,0.0,68,13.4,91,914,4.3,3516.8,4327.5
2021-11-03 07:15:00,2.2,0.0,68,13.4,91,914,4.3,3516.8,4327.5
2021-11-03 07:30:00,2.2,1.0,66,13.4,91,914,2.9,3019.6,3878.8
2021-11-03 07:45:00,2.3,1.0,65,13.4,92,914,2.9,3019.6,3878.8
2021-11-03 08:00:00,2.4,2.0,62,13.4,92,914,2.8,3019.6,3878.8
2021-11-03 08:15:00,2.4,2.0,62,13.4,92,914,2.8,3019.6,3878.8
2021-11-03 08:30:00,2.4,1.0,62,13.5,92,914,2.8,3019.6,3878.8
2021-11-03 08:45:00,2.5,1.0,61,13.5,91,915,2.7,2629.6,1640.9
2021-11-03 09:00:00,2.5,0.0,61,13.6,91,915,4.2,3126.8,2089.6
2021-11-03 09:15:00,2.4,1.0,60,13.7,91,915,2.7,2629.6,1640.9
2021-11-03 09:30:00,2.3,4.0,61,13.8,90,915,2.6,2201.1,1515.6
2021-11-03 09:45:00,2.1,6.0,61,13.9,90,915,2.6,2201.1,1630.4
2021-11-03 10:00:00,1.9,9.0,62,14.0,89,915,2.6,2392.3,2367.0
2021-11-03 10:15:00,1.8,10.0,61,14.2,89,915,2.6,2392.3,2367.0
2021-11-03 10:30:00,1.9,10.0,65,14.3,89,915,2.6,2392.3,2367.0
2021-11-03 10:45:00,1.9,11.0,65,14.4,88,914,2.7,2392.3,3483.2
2021-11-03 11:00:00,1.9,11.0,69,14.5,88,914,2.7,2392.3,3483.2
2021-11-03 11:15:00,2.0,10.0,70,14.7,87,914,2.6,2386.1,3415.1
2021-11-03 11:30:00,2.1,8.0,71,15.0,86,914,2.6,2386.1,3415.1
2021-11-03 11:45:00,2.2,6.0,72,15.3,84,914,2.6,2386.1,3300.3
2021-11-03 12:00:00,2.3,4.0,72,15.6,83,914,2.5,2185.6,3403.3
2021-11-03 12:15:00,2.4,4.0,71,15.7,82,914,2.5,2185.6,3033.8
2021-11-03 12:30:00,2.5,5.0,69,15.7,82,914,2.4,2131.0,2971.5
2021-11-03 12:45:00,2.6,6.0,67,15.6,82,913,2.4,2691.9,2774.7
2021-11-03 13:00:00,2.6,7.0,65,15.6,82,913,2.3,2691.9,2774.7
2021-11-03 13:15:00,2.6,8.0,65,15.6,82,913,2.3,2691.9,2774.7
2021-11-03 13:30:00,2.6,10.0,65,15.6,82,913,2.3,2691.9,2774.7
2021-11-03 13:45:00,2.6,12.0,65,15.5,82,912,2.5,2783.9,2946.3
2021-11-03 14:00:00,2.6,14.0,65,15.5,82,912,2.5,2783.9,2946.3
2021-11-03 14:15:00,2.6,20.0,65,15.5,82,912,2.5,2783.9,2946.3
2021-11-03 14:30:00,2.6,29.0,67,15.6,82,912,2.5,2783.9,2946.3
2021-11-03 14:45:00,2.5,38.0,69,15.6,81,911,2.7,2788.0,3216.5
2021-11-03 15:00:00,2.4,47.0,71,15.7,81,911,2.8,2842.6,3278.8
2021-11-03 15:15:00,2.4,54.0,71,15.7,81,911,2.8,2842.6,3278.8
2021-11-03 15:30:00,2.4,59.0,71,15.7,81,911,2.8,2842.6,3278.8
2021-11-03 15:45:00,2.4,65.0,68,15.6,82,911,2.7,2788.0,3019.7
2021-11-03 16:00:00,2.4,70.0,68,15.6,82,911,2.7,2788.0,3019.7
2021-11-03 16:15:00,2.4,74.0,68,15.6,82,911,2.7,2788.0,3019.7
2021-11-03 16:30:00,2.4,75.0,66,15.5,82,911,2.7,2788.0,3019.7
2021-11-03 16:45:00,2.5,77.0,63,15.5,82,911,2.8,2788.0,3019.7
2021-11-03 17:00:00,2.5,78.0,61,15.4,82,911,2.8,2788.0,3019.7
2021-11-03 17:15:00,2.5,75.0,61,15.3,83,911,3.3,3993.8,4171.5
2021-11-03 17:30:00,2.5,68.0,64,15.1,84,911,3.3,3993.8,4171.5
2021-11-03 17:45:00,2.6,60.0,67,15.0,85,911,3.2,3993.8,4171.5
2021-11-03 18:00:00,2.7,53.0,70,14.8,86,911,3.2,4418.9,4171.5
2021-11-03 18:15:00,2.6,49.0,74,14.7,87,911,3.2,3194.5,3733.1
2021-11-03 18:30:00,2.5,49.0,78,14.6,88,911,3.2,3194.5,3733.1
2021-11-03 18:45:00,2.4,48.0,83,14.6,88,912,2.8,3039.0,3300.3
2021-11-03 19:00:00,2.3,48.0,88,14.5,89,912,2.9,3045.2,3368.3
2021-11-03 19:15:00,2.4,47.0,90,14.5,89,912,2.8,3045.2,3368.3
2021-11-03 19:30:00,2.5,45.0,88,14.4,89,912,2.8,3045.2,3368.3
2021-11-03 19:45:00,2.6,43.0,86,14.4,90,912,2.9,3244.1,3676.0
2021-11-03 20:00:00,2.7,41.0,84,14.3,90,912,2.9,3244.1,3676.0
2021-11-03 20:15:00,2.8,45.0,84,14.3,90,912,2.9,3244.1,3676.0
2021-11-03 20:30:00,2.9,56.0,84,14.2,90,912,3.0,3244.1,3676.0
2021-11-03 20:45:00,2.9,57.0,84,14.2,91,912,3.3,3672.5,3878.8
2021-11-03 21:00:00,3.0,77.0,84,14.1,91,912,3.3,3672.5,3878.8
2021-11-03 21:15:00,2.9,19.0,84,14.1,91,912,3.3,3672.5,3878.8
2021-11-03 21:30:00,2.8,17.0,82,14.0,91,912,3.1,3672.5,3878.8
2021-11-03 21:45:00,2.6,16.0,79,13.9,91,912,3.1,3672.5,3878.8
2021-11-03 22:00:00,2.6,14.0,77,13.8,91,912,3.1,3672.5,3878.8
2021-11-03 22:15:00,2.4,13.0,75,13.8,91,912,3.1,3672.5,3878.8
2021-11-03 22:30:00,2.3,13.0,72,13.7,91,912,3.1,3672.5,3878.8
2021-11-03 22:45:00,2.2,14.0,69,13.6,91,912,3.2,3672.5,3878.8
2021-11-03 23:00:00,2.2,14.0,66,13.5,91,912,3.2,3672.5,3878.8
2021-11-03 23:15:00,2.2,13.0,66,13.5,91,912,3.2,3672.5,3878.8
2021-11-03 23:30:00,2.3,11.0,65,13.6,91,912,3.2,3672.5,3878.8
2021-11-03 23:45:00,2.5,8.0,63,13.7,90,912,3.0,3244.1,3676.0
2021-11-04 00:00:00,2.5,2.0,63,14.5,90,912,3.0,3244.1,3676.0
2021-11-04 00:15:00,2.5,9.0,58,14.5,90,912,3.0,3106.0,3376.9
2021-11-04 00:30:00,2.5,22.0,56,14.5,90,912,3.0,2944.4,3199.1
2021-11-04 00:45:00,2.5,35.0,53,14.4,90,912,3.0,2944.4,3199.1
2021-11-04 01:00:00,2.6,48.0,51,14.4,90,912,2.9,2944.4,3199.1
2021-11-04 01:15:00,2.6,54.0,53,14.4,90,912,3.0,2944.4,3199.1
2021-11-04 01:30:00,2.6,53.0,61,14.3,90,912,3.0,3244.1,3676.0
2021-11-04 01:45:00,2.7,52.0,68,14.2,91,911,3.5,5052.4,4105.3
2021-11-04 02:00:00,2.8,51.0,75,14.1,91,911,3.5,5052.4,4105.3
2021-11-04 02:15:00,2.8,46.0,77,14.1,91,911,3.5,5052.4,4105.3
2021-11-04 02:30:00,2.6,37.0,74,14.2,90,911,3.3,3399.7,3902.4
2021-11-04 02:45:00,2.6,28.0,69,14.3,90,910,3.1,3399.7,3902.4
2021-11-04 03:00:00,2.4,19.0,66,14.4,89,910,2.9,3200.7,3594.8
2021-11-04 03:15:00,2.5,24.0,61,14.4,89,910,3.0,3200.7,3594.8
2021-11-04 03:30:00,2.6,11.0,61,14.3,89,910,3.0,3200.7,3594.8
2021-11-04 03:45:00,2.8,9.0,60,14.3,90,910,3.2,4624.0,3902.4
2021-11-04 04:00:00,2.9,6.0,59,14.2,90,910,3.4,4554.6,3757.5
2021-11-04 04:15:00,3.0,8.0,62,14.2,90,910,3.4,4624.0,3902.4
2021-11-04 04:30:00,3.0,13.0,64,14.1,91,910,3.7,5052.4,4105.3
2021-11-04 04:45:00,3.0,19.0,67,14.1,91,910,3.6,5052.4,4105.3
2021-11-04 05:00:00,3.1,131.0,69,14.0,92,910,3.6,5052.4,4105.3
2021-11-04 05:15:00,3.1,131.0,71,14.0,92,910,3.5,5052.4,4105.3
2021-11-04 05:30:00,3.0,40.0,69,14.0,93,910,3.7,5391.7,4341.5
2021-11-04 05:45:00,3.0,49.0,66,13.9,93,910,3.7,5391.7,4061.6
2021-11-04 06:00:00,2.9,58.0,63,13.9,94,910,3.8,5440.6,4061.6
2021-11-04 06:15:00,3.0,90.0,64,13.9,94,910,3.8,5440.6,4061.6
2021-11-04 06:30:00,3.1,146.0,65,13.9,94,910,3.8,5440.6,4061.6
2021-11-04 06:45:00,3.1,202.0,68,13.8,94,910,3.7,5440.6,4061.6
2021-11-04 07:00:00,3.2,258.0,68,13.8,94,910,3.7,5440.6,4061.6
2021-11-04 07:15:00,3.3,315.0,69,13.8,94,910,3.8,5440.6,4341.5
2021-11-04 07:30:00,3.4,270.0,67,13.8,94,910,3.8,5440.6,4061.6
2021-11-04 07:45:00,3.4,259.0,67,13.9,94,911,4.0,5440.6,4061.6
2021-11-04 08:00:00,3.4,248.0,66,13.9,94,911,4.0,5440.6,4061.6
2021-11-04 08:15:00,3.4,228.0,66,14.0,94,911,4.0,5440.6,4061.6
2021-11-04 08:30:00,3.4,199.0,67,14.2,93,911,3.9,5391.7,4061.6
2021-11-04 08:45:00,3.3,169.0,69,14.3,92,911,3.8,5052.4,4105.3
2021-11-04 09:00:00,3.3,140.0,70,14.5,91,911,3.7,5052.4,4105.3
2021-11-04 09:15:00,3.3,304.0,70,14.6,90,911,3.5,4617.8,4479.1
2021-11-04 09:30:00,3.4,185.0,71,14.6,91,911,3.7,5046.2,4681.9
2021-11-04 09:45:00,3.5,225.0,70,14.5,92,911,3.7,5052.4,4105.3
2021-11-04 10:00:00,3.6,265.0,71,14.5,93,911,3.9,5391.7,4341.5
2021-11-04 10:15:00,3.6,325.0,72,14.5,93,911,3.9,5391.7,4341.5
2021-11-04 10:30:00,3.4,396.0,75,14.5,93,911,3.9,5391.7,4341.5
2021-11-04 10:45:00,3.3,335.0,79,14.6,92,911,3.7,5046.2,4243.6
2021-11-04 11:00:00,3.1,274.0,83,14.6,92,911,3.4,3789.6,4243.6
2021-11-04 11:15:00,3.2,604.0,83,14.7,91,911,3.4,3789.6,4243.6
2021-11-04 11:30:00,3.3,329.0,81,14.9,90,911,3.5,4192.7,4040.7
2021-11-04 11:45:00,3.5,386.0,80,15.2,89,910,3.1,4437.7,3733.1
2021-11-04 12:00:00,3.6,443.0,79,15.4,88,910,2.9,3286.5,3476.6
2021-11-04 12:15:00,3.6,467.0,79,15.5,87,910,2.9,3286.5,3476.6
2021-11-04 12:30:00,3.6,460.0,77,15.5,88,910,2.9,3286.5,3476.6
2021-11-04 12:45:00,3.5,453.0,75,15.4,88,909,2.9,2648.1,3476.6
2021-11-04 13:00:00,3.5,500.0,74,15.4,89,909,2.9,2648.1,3476.6
2021-11-04 13:15:00,3.5,433.0,74,15.5,89,909,2.9,2648.1,3476.6
2021-11-04 13:30:00,3.4,415.0,75,15.6,88,909,2.9,2842.6,3476.6
2021-11-04 13:45:00,3.4,398.0,75,15.7,88,908,2.9,2453.8,3087.5
2021-11-04 14:00:00,3.3,380.0,76,15.8,87,908,2.9,2453.8,3087.5
2021-11-04 14:15:00,3.4,410.0,76,15.8,87,908,2.9,2453.8,3087.5
2021-11-04 14:30:00,3.5,488.0,75,15.7,87,908,2.9,2259.4,3087.5
2021-11-04 14:45:00,3.6,566.0,76,15.7,88,907,2.9,2259.4,3087.5
2021-11-04 15:00:00,3.7,644.0,74,15.6,88,907,2.9,2181.7,2918.4
2021-11-04 15:15:00,3.7,694.0,74,15.6,88,907,2.8,2181.7,2918.4
2021-11-04 15:30:00,3.7,700.0,74,15.6,88,907,2.8,2181.7,2918.4
2021-11-04 15:45:00,3.6,725.0,74,15.5,89,907,2.8,2259.4,3087.5
2021-11-04 16:00:00,3.6,750.0,74,15.5,89,907,2.8,2259.4,3087.5
2021-11-04 16:15:00,3.6,779.0,74,15.5,89,907,2.8,2259.4,3087.5
2021-11-04 16:30:00,3.7,812.0,76,15.4,89,907,2.8,2181.7,2918.4
2021-11-04 16:45:00,3.8,845.0,78,15.4,90,907,3.0,1657.6,3226.0
2021-11-04 17:00:00,3.9,914.0,80,15.3,90,907,3.1,1854.0,3221.8
2021-11-04 17:15:00,3.9,911.0,80,15.3,90,907,3.1,1854.0,3221.8
2021-11-04 17:30:00,4.0,943.0,80,15.2,91,907,3.3,2553.4,3314.9
2021-11-04 17:45:00,4.0,976.0,81,15.1,92,907,3.2,2735.5,3314.9
2021-11-04 18:00:00,4.1,1008.0,82,15.0,93,907,3.3,3074.8,3551.1
2021-11-04 18:15:00,4.2,1059.0,80,15.0,93,907,3.3,3074.8,3551.1
2021-11-04 18:30:00,4.2,1108.0,78,14.9,94,907,3.3,3123.7,3551.1
2021-11-04 18:45:00,4.2,1157.0,76,14.9,95,907,3.1,2657.7,2623.9
2021-11-04 19:00:00,4.3,1327.0,74,14.8,96,907,3.1,2657.7,3152.2
2021-11-04 19:15:00,4.3,1254.0,71,14.8,96,907,3.1,2657.7,3152.2
2021-11-04 19:30:00,4.4,1223.0,69,14.8,96,907,3.2,2657.7,3152.2
2021-11-04 19:45:00,4.4,1126.0,65,14.7,97,908,3.2,4398.9,2872.2
2021-11-04 20:00:00,4.5,1028.0,62,14.7,97,908,3.2,4398.9,2872.2
2021-11-04 20:15:00,4.6,992.0,61,14.7,97,908,3.2,3865.9,2872.2
2021-11-04 20:30:00,4.4,1018.0,62,14.7,97,908,3.2,4398.9,2872.2
2021-11-04 20:45:00,4.3,1245.0,62,14.6,98,908,3.2,4398.9,2872.2
2021-11-04 21:00:00,4.2,1174.0,63,14.6,98,908,3.2,4398.9,2872.2
2021-11-04 21:15:00,4.0,1104.0,60,14.6,98,908,3.2,4398.9,2844.3
2021-11-04 21:30:00,4.0,1109.0,58,14.6,98,908,3.2,4138.0,3397.1
2021-11-04 21:45:00,4.0,1089.0,55,14.6,98,908,3.2,3550.4,3000.7
2021-11-04 22:00:00,4.0,1069.0,53,14.6,98,908,3.2,3550.4,3000.7
2021-11-04 22:15:00,4.0,1109.0,50,14.6,98,908,3.2,3550.4,3000.7
2021-11-04 22:30:00,4.2,1209.0,50,14.5,98,908,3.2,3550.4,3000.7
2021-11-04 22:45:00,4.3,1308.0,49,14.5,98,908,3.2,3550.4,3000.7
2021-11-04 23:00:00,4.4,1498.0,49,14.4,98,908,3.3,3550.4,2848.4
2021-11-04 23:15:00,4.5,1490.0,48,14.4,98,908,3.3,3550.4,2848.4
2021-11-04 23:30:00,4.5,1401.0,47,14.4,98,908,3.3,3550.4,2848.4
2021-11-04 23:45:00,4.5,1311.0,47,14.3,99,907,3.2,3550.4,2848.4
2021-11-05 00:00:00,3.1,177.0,57,14.5,97,908,3.4,3755.1,3694.2
2021-11-05 00:15:00,3.2,234.0,58,14.5,97,908,3.4,4342.7,4090.7
2021-11-05 00:30:00,3.3,330.0,57,14.5,97,908,3.4,3755.1,3694.2
2021-11-05 00:45:00,3.5,426.0,57,14.6,96,907,3.4,3755.1,3694.2
2021-11-05 01:00:00,3.6,608.0,56,14.6,96,907,3.4,3755.1,3694.2
2021-11-05 01:15:00,3.7,628.0,57,14.6,96,907,3.4,3677.4,3525.1
2021-11-05 01:30:00,3.7,715.0,57,14.5,96,907,3.2,3677.4,3525.1
2021-11-05 01:45:00,3.6,756.0,56,14.5,97,907,3.2,3755.1,3694.2
2021-11-05 02:00:00,3.6,797.0,56,14.4,97,907,3.2,3755.1,3694.2
2021-11-05 02:15:00,3.7,848.0,55,14.4,97,907,3.2,3677.4,3525.1
2021-11-05 02:30:00,3.8,802.0,53,14.4,97,907,3.2,3677.4,3525.1
2021-11-05 02:45:00,3.8,647.0,49,14.4,97,906,3.4,3949.4,5707.2
2021-11-05 03:00:00,4.0,1032.0,47,14.4,97,906,3.3,3822.5,5182.8
2021-11-05 03:15:00,4.0,424.0,45,14.4,97,906,3.4,3822.5,5182.8
2021-11-05 03:30:00,3.8,441.0,41,14.4,97,906,3.4,3949.4,5836.6
2021-11-05 03:45:00,3.7,458.0,36,14.3,97,906,3.4,5015.7,5836.6
2021-11-05 04:00:00,3.6,475.0,32,14.3,97,906,3.4,6147.8,6303.2
2021-11-05 04:15:00,3.6,502.0,32,14.3,97,906,3.4,6147.8,6303.2
